DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI,LFC,VP_FRMB,VS_FRMB,RHO_FRMB,IP_FRMB,IS_FRMB,VPVS_FRMB,VP_FRMO,VS_FRMO,RHO_FRMO,IP_FRMO,IS_FRMO,VPVS_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,IP_FRMG,IS_FRMG,VPVS_FRMG,LFC_B,LFC_O,LFC_G
2419.094,3254.9,1615.1,2.2546,59.2426,0.2482,2.2549700000000006,1.0,1.0,2.0152931707015047,7339.701853000002,3642.0020470000013,0.12336503520939016,2.669738405633502,1.09,0.2625551193503916,1.0,3254.9000000000005,1615.1,2.2549700000000006,7339.701853000003,3642.002047000001,2.015293170701505,3146.0866639748774,1645.061714641212,2.1735779130013793,6838.264485203986,3575.6698084683158,1.9124429411823247,3155.765383835688,1700.3921765261273,2.0344236997456715,6420.16388771232,3459.318142786879,1.8559044362829662,1.0,2.0,3.0
2419.2463,3098.4,1524.6,2.2534,60.2812,0.2649,2.253462999999999,1.0,1.0,2.032270759543487,6982.129759199996,3435.6296897999987,0.13514801331002302,2.671623682129604,1.09,0.26438696312802124,1.0,3098.4,1524.6,2.253462999999999,6982.129759199997,3435.6296897999982,2.032270759543487,2948.4592483386346,1553.105330607021,2.1715030414303125,6402.588225300678,3372.572949074777,1.8984283874592387,2926.752577389821,1605.778963641527,2.031377950972461,5945.340653661504,3261.9439808768075,1.8226372643172744,1.0,2.0,3.0
2419.3987,3103.4,1489.8,2.2545,65.4524,0.2852,2.2549870000000007,1.0,1.0,2.0830984024701302,6998.1266558000025,3359.4796326000014,0.19381558153069808,2.681010493044912,1.09,0.267769128429554,1.0,3103.4,1489.8,2.2549870000000007,6998.1266558000025,3359.479632600001,2.0830984024701302,2984.6802853006106,1518.0015786585468,2.171978570186839,6482.661618532066,3297.0668983561545,1.9661905015528134,2985.335460843951,1570.165585912628,2.0300609321191754,6060.412888329299,3187.531812919241,1.9012870283415255,1.0,2.0,3.0
2419.5513,3126.3,1492.2,2.2674,70.1455,0.3234,2.290085000000058,1.0,1.0,2.0950944913550464,7159.492735500182,3417.2648370000875,0.2470590771248445,2.689529452339975,1.09,0.2497262252692902,4.0,3126.3,1492.2,2.290085000000058,7159.492735500182,3417.264837000087,2.0950944913550464,3126.3,1492.2,2.290085000000058,7159.492735500182,3417.264837000087,2.0950944913550464,3126.3,1492.2,2.290085000000058,7159.492735500182,3417.264837000087,2.0950944913550464,4.0,4.0,4.0
2419.7036,3220.0,1495.3000000000006,2.3116,81.5389,0.3514,2.324949999999972,1.0,1.0,2.153414030629305,7486.338999999908,3476.4977349999585,0.3763178703963169,2.7102108592634107,1.09,0.2377843951981585,4.0,3220.0,1495.3000000000006,2.324949999999972,7486.338999999909,3476.4977349999594,2.153414030629304,3220.0,1495.3000000000006,2.324949999999972,7486.338999999909,3476.4977349999594,2.153414030629304,3220.0,1495.3000000000006,2.324949999999972,7486.338999999909,3476.4977349999594,2.153414030629304,4.0,4.0,4.0
2419.856,3173.1,1592.1,2.3367,88.8323,0.3359,2.3361599999999987,1.0,1.0,1.9930280761258712,7412.869295999995,3719.400335999999,0.459061922465599,2.723449907594496,1.09,0.2370993477019695,4.0,3173.1,1592.1,2.3361599999999987,7412.869295999995,3719.400335999998,1.9930280761258716,3173.1,1592.1,2.3361599999999987,7412.869295999995,3719.400335999998,1.9930280761258716,3173.1,1592.1,2.3361599999999987,7412.869295999995,3719.400335999998,1.9930280761258716,4.0,4.0,4.0
2420.0083,3261.8,1612.2,2.334,89.9501,0.2982,2.3302650000000136,1.0,1.0,2.0231981143778692,7600.858377000045,3756.853233000022,0.4717434292255523,2.7254789486760886,1.09,0.2416502817086081,4.0,3261.8,1612.2,2.3302650000000136,7600.858377000045,3756.853233000022,2.023198114377869,3261.8,1612.2,2.3302650000000136,7600.858377000045,3756.853233000022,2.023198114377869,3261.8,1612.2,2.3302650000000136,7600.858377000045,3756.853233000022,2.023198114377869,4.0,4.0,4.0
2420.1609,3305.1,1614.5,2.2887,83.6171,0.27,2.2795605000000214,1.0,1.0,2.0471353360173428,7534.175408550071,3680.350427250035,0.3998951716564125,2.7139832274650257,1.09,0.2675044422368337,4.0,3305.1,1614.5,2.2795605000000214,7534.175408550071,3680.3504272500345,2.0471353360173428,3305.1,1614.5,2.2795605000000214,7534.175408550071,3680.3504272500345,2.0471353360173428,3305.1,1614.5,2.2795605000000214,7534.175408550071,3680.3504272500345,2.0471353360173428,4.0,4.0,4.0
2420.3132,3310.5,1607.2,2.2578,74.8609,0.2644,2.2565480000000133,1.0,1.0,2.0597934295669487,7470.302154000043,3626.7239456000207,0.30055556753089546,2.6980888908049434,1.09,0.2745749276235053,4.0,3310.5,1607.2,2.2565480000000133,7470.3021540000445,3626.7239456000216,2.0597934295669487,3310.5,1607.2,2.2565480000000133,7470.3021540000445,3626.7239456000216,2.0597934295669487,3310.5,1607.2,2.2565480000000133,7470.3021540000445,3626.7239456000216,2.0597934295669487,4.0,4.0,4.0
2420.4656,3284.5,1599.6999999999994,2.247,69.9976,0.2718,2.247328,1.0,1.0,2.053197474526474,7381.348816,3595.0506015999995,0.2453811429239167,2.689260982867826,1.09,0.2763357498257372,4.0,3284.5,1599.6999999999994,2.247328,7381.348816,3595.0506015999986,2.0531974745264745,3284.5,1599.6999999999994,2.247328,7381.348816,3595.0506015999986,2.0531974745264745,3284.5,1599.6999999999994,2.247328,7381.348816,3595.0506015999986,2.0531974745264745,4.0,4.0,4.0
2420.6179,3292.1,1604.1,2.2478,65.872,0.2776,2.2462099999999703,1.0,1.0,2.0523034723520976,7394.747940999902,3603.1454609999532,0.1985759682156832,2.6817721549145093,1.09,0.2736334805014428,1.0,3292.1000000000004,1604.1,2.2462099999999703,7394.747940999903,3603.1454609999523,2.052303472352098,3228.0587313522738,1635.2745920090033,2.161383621044523,6977.073269714567,3534.455719078525,1.9740163194160978,3271.686442912912,1693.0617922245688,2.016357876378758,6596.890728209052,3413.818479947946,1.9324081719510882,1.0,2.0,3.0
